player,year,is_hit
Derek Jeter,1995,1
Derek Jeter,1995,1
Derek Jeter,1995,1
Derek Jeter,1995,1
Derek Jeter,1995,1
Derek Jeter,1995,1
Derek Jeter,1995,1
Derek Jeter,1995,1
Derek Jeter,1995,1
Derek Jeter,1995,1
Derek Jeter,1995,1
Derek Jeter,1995,1
Derek Jeter,1995,0
Derek Jeter,1995,0
Derek Jeter,1995,0
Derek Jeter,1995,0
Derek Jeter,1995,0
Derek Jeter,1995,0
Derek Jeter,1995,0
Derek Jeter,1995,0
Derek Jeter,1995,0
Derek Jeter,1995,0
Derek Jeter,1995,0
Derek Jeter,1995,0
Derek Jeter,1995,0
Derek Jeter,1995,0
Derek Jeter,1995,0
Derek Jeter,1995,0
Derek Jeter,1995,0
Derek Jeter,1995,0
Derek Jeter,1995,0
Derek Jeter,1995,0
Derek Jeter,1995,0
Derek Jeter,1995,0
Derek Jeter,1995,0
Derek Jeter,1995,0
Derek Jeter,1995,0
Derek Jeter,1995,0
Derek Jeter,1995,0
Derek Jeter,1995,0
Derek Jeter,1995,0
Derek Jeter,1995,0
Derek Jeter,1995,0
Derek Jeter,1995,0
Derek Jeter,1995,0
Derek Jeter,1995,0
Derek Jeter,1995,0
Derek Jeter,1995,0
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,1
Derek Jeter,1996,0
Derek Jeter,1996,0
Derek Jeter,1996,0
Derek Jeter,1996,0
Derek Jeter,1996,0
Derek Jeter,1996,0
Derek Jeter,1996,0
Derek Jeter,1996,0
Derek Jeter,1996,0
Derek Jeter,1996,0
Derek Jeter,1996,0
Derek Jeter,1996,0
Derek Jeter,1996,0
Derek Jeter,1996,0
Derek Jeter,1996,0
Derek Jeter,1996,0
Derek Jeter,1996,0
Derek Jeter,1996,0
Derek Jeter,1996,0
Derek Jeter,1996,0
Derek Jeter,1996,0
